"region","week","date_from","date_to","track_id","track_name","artist","track_position","track_streams","track_url"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","79cuOz3SPQTuFrp8WgftAu","There's Nothing Holdin' Me Back","Shawn Mendes","20","14274855","https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","6WbADFqMvR8N5u0BvtsWQE","Without You (feat. Sandro Cavazza)","Avicii","21","13916644","https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","6De0lHrwBfPfrhorm9q1Xl","Me Rehúso","Danny Ocean","22","13294421","https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","0ofbQMrRDsUaVKq2mGLEAb","Havana","Camila Cabello","23","13147398","https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","5eqK0tbzUPo2SoeZsov04s","Bank Account","21 Savage","24","13073175","https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","7vGuf3Y35N4wmASOKLUVVU","Silence","Marshmello","25","12676049","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","Kendrick Lamar","26","12551475","https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","0qYTZCo5Bwh1nsUFGZP3zn","Felices los 4","Maluma","27","12225285","https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","6jA8HL9i4QGzsj6fjoxp8Y","There for You","Martin Garrix","28","11907057","https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","1wjzFQodRWrPcQ0AnYnvQ9","I Like Me Better","Lauv","29","11786706","https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","6kex4EBAj0WHXDKZMEJaaF","Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo","30","11586144","https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","0XLOf9LhyazPX9Ld8jPiUq","Fetish (feat. Gucci Mane)","Selena Gomez","31","11527858","https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","6RUKPb4LETWmmr3iAEQktW","Something Just Like This","The Chainsmokers","32","11420221","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","4c2W3VKsOFoIg2SFaO6DY5","Your Song","Rita Ora","33","11325418","https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","3a1lNhkSLSkpJE4MSHpDu9","Congratulations","Post Malone","34","11243011","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","0CcQNd8CINkwQfe1RDtGV6","Believer","Imagine Dragons","35","10720579","https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","4aWmUDTfIPGksMNLV2rQP2","Despacito (Featuring Daddy Yankee)","Luis Fonsi","36","10664188","https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2"
